YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M_MAX,T2M_MIN,T2MDEW,QV2M,PRECTOTCORR,PS,WD10M,WS10M_MAX,WS10M_MIN
2022,1,1,4.46,4.49,2.01,29.35,17.95,17.98,12.88,0,100.47,160.19,5.41,0.91
2022,1,2,4.36,4.33,1.62,29.72,18.14,18.25,13.12,0,100.33,140.62,4.44,0.14
2022,1,3,4.25,4.22,1.78,29.65,18.65,18.47,13.31,0,100.28,140,4.89,0.92
2022,1,4,4.45,4.41,1.52,30.3,18.7,17.37,12.39,0,100.25,126.12,4.58,0.13
2022,1,5,4,4.25,1.7,29.41,18.01,16.94,12.08,0,100.24,169.19,4.86,1.7
2022,1,6,4.12,4.37,1.45,28.09,18.12,18.58,13.43,0.13,100.2,154.94,3.08,0.65
2022,1,7,4.4,4.51,1.7,27.91,17.3,18.08,13,0.02,100.16,185.12,4.06,0.45
2022,1,8,2.43,4.8,1.47,27.4,19.02,18.6,13.43,1.44,100.23,230,3.45,0.12
2022,1,9,4.76,5.09,2.13,25.91,15.43,15.66,11.17,0.14,100.23,196.94,3.89,2.27
2022,1,10,5.25,5.38,1.9,25.26,12.58,11.58,8.54,0,100.26,173.81,3.84,1.64
2022,1,11,5.09,5.37,1.52,24.35,12.68,12.04,8.85,0,100.27,206.19,3.09,0.47
2022,1,12,4.8,4.89,1.81,25.93,11.79,13.36,9.58,0,100.19,191.81,3.98,0.52
2022,1,13,3.97,4.66,1.72,25.61,13.18,14.15,10.13,0,100.11,166.69,3.81,1.77
2022,1,14,4.3,4.67,1.25,26.58,15.5,16.24,11.54,0.06,100.14,187.38,3.14,0.06
2022,1,15,4.6,4.61,1.92,28.91,16.46,16.49,11.72,0,100.19,146.75,5.35,0.3
2022,1,16,4.95,4.93,2.17,30.69,16.58,16.27,11.6,0,100.22,108.12,5.9,0.48
2022,1,17,4.55,4.53,1.77,30.24,17.94,17.51,12.51,0,100.43,150,4.93,0.59
2022,1,18,5.01,5.01,1.66,31.06,18.07,16.5,11.72,0,100.36,148.19,3.99,0.66
2022,1,19,5.36,5.32,1.88,31.3,16.52,14.44,10.31,0,100.23,190.62,5.01,1.33
2022,1,20,5.5,5.5,1.74,30.23,17.08,13.67,9.83,0,100.06,191.5,3.67,0.84
2022,1,21,5.12,5.26,1.45,28.86,16.8,17.13,12.27,0.05,100.06,208.69,3.45,0.95
2022,1,22,4.76,5.3,2.09,27.72,19.2,19.37,14.1,0.31,99.91,247.12,5.76,0.18
2022,1,23,3.57,5.09,2.62,23.48,14.12,13.94,10.07,0.06,100.02,287.19,4.77,2.79
2022,1,24,4.73,4.98,1.98,24.64,10.43,6.15,6.04,0,100.1,152.94,3.66,2.52
2022,1,25,5.03,5.04,1.98,26.25,9.48,5.63,5.8,0,100.09,164,4.99,0.54
2022,1,26,5.12,5.1,1.7,28.19,10.98,8.23,6.9,0,100.09,158.06,4.8,0.12
2022,1,27,5.25,5.25,2.2,29.7,12.62,9.53,7.51,0,100.1,143.94,6.34,0.52
2022,1,28,5.16,5.14,2.69,30.47,13.65,10.29,7.93,0,100.18,136.12,7.47,0.35
2022,1,29,5.63,5.61,2.26,31.19,14.36,9.65,7.63,0,100.29,144.62,7.2,0.05
2022,1,30,5.63,5.61,1.5,31.51,14.22,10.52,8.06,0,100.18,169.44,4.23,0.35
2022,1,31,5.95,5.92,1.59,32.01,14.22,9.37,7.51,0,100.07,139.25,3.87,0.23
2022,2,1,5.73,5.71,1.78,32.34,14.58,10.05,7.93,0,100,151.81,3.62,1.81
2022,2,2,5.73,5.72,1.53,32.19,15.48,12.04,8.97,0,100.03,180.25,2.98,1.23
2022,2,3,5.9,5.94,1.74,29.19,15.21,16.23,11.6,0,99.99,204,4.48,1.2
2022,2,4,5.71,5.9,1.17,28.23,17.43,14.21,10.31,0,99.96,291.44,3.07,0.7
